Area,Test,Expected Result,Status,Notes
Upload,Upload Phase 10D/10E files to public_html,Files appear in correct portal folders,Pending,
Cache,Clear browser cache and unregister old service worker,Latest JS/CSS loads,Pending,
Auth,Open /portal/auth/student-signup.html,Student signup page loads,Pending,
Auth,Create real student account,Profile status active and student row created,Pending,
Auth,Create real agent account,Profile status pending and approval queued,Pending,
Auth,Create real staff account,Profile status pending and approval queued,Pending,
Bootstrap,Create first admin/super admin,Profile role super_admin and status active,Pending,
Login,Login as super_admin through admin login,Redirects to super-admin dashboard,Pending,
Approvals,Open /portal/admin/approvals.html,Pending agent/staff visible,Pending,
Approvals,Approve agent,Agent status active and can login,Pending,
Approvals,Reject staff,Staff status rejected and cannot access dashboard,Pending,
Role Guard,Student opens admin dashboard,Blocked to forbidden page,Pending,
Role Guard,Agent opens staff dashboard,Blocked to forbidden page,Pending,
Role Guard,Pending agent opens dashboard,Blocked or pending message,Pending,
Role Guard,Super admin opens all pages,Allowed,Pending,
Logout,Logout from dashboard,Supabase + demo session cleared,Pending,
Mobile,Open dashboard on phone,Sidebar and tables do not overflow,Pending,
No Payment,Try document upload,Shows demo/coming-soon,Pending,Storage skipped
