Area,Checklist Item,Priority
Auth,Enable Email/Password,Required for beginner launch
Auth,Enable Password Reset,Before real users
Auth,Create first super admin manually,Required before admin workflows
Firestore,Start in production/locked mode,Do not use public test mode
Firestore,Add rules before data import,Required
Firestore,Block client writes to role/permissions,Critical
Firestore,Audit logs append via Cloud Functions,Critical for admin actions
Storage,Require auth for all uploads,Required
Storage,Allow only PDF/JPG/JPEG/PNG,Required
Storage,Max 5 MB launch limit,Recommended
Storage,Set budget alerts on Blaze,Required if Storage is enabled
Functions,Use admin SDK for approval/role changes,Required
Frontend,Do not expose service account keys,Critical
Frontend,Keep demo fallback disabled in production,Required
Monitoring,Review Firebase usage weekly,Recommended
